path,proposed_license,historical_authors,non_owner_contribution_present,contribution_survives,relicensing_authority,evidence,disposition
.github/CODEOWNERS,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
.github/workflows/auto-archive.yml,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
.github/workflows/hpp-standard-audit.yml,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
.github/workflows/spec-consistency.yml,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
.github/workflows/structure-validator.yml,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
.gitignore,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
.markdownlint.json,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
eslint.config.mjs,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
examples/node/README.md,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
examples/python/README.md,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
requirements-ci.txt,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
scripts/build.sh,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
scripts/check_agentic_safety.py,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
scripts/check_discovery_profile.py,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
scripts/check_empty_md.py,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
scripts/check_links.py,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
scripts/check_paf_register.py,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
scripts/normative_fingerprint.py,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
scripts/public_repo_leak_guard.py,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
scripts/regulator_sim_check.py,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
scripts/validate.py,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
tests/test_check_discovery_profile.py,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
tests/test_check_paf_register.py,Apache-2.0,Evgeniy Vasiliev <38202526+tryblackjack@users.noreply.github.com> (including historical tryblackjack aliases),false,false,OWNER_AUTHORSHIP,reachable git log --follow and current-line git blame reviewed through base commit 3fc06a4; all human-attributed commits resolve to @tryblackjack; no @renoschubert-authored commit or surviving line exists in the local reachable object graph,NON_COPYRIGHTABLE_OR_NO_SURVIVING_CONTRIBUTION
